"County","Total Cases","Deaths"
"Adams","25954","217"
"Alexander","1504","16"
"Bond","4955","31"
"Boone","16409","121"
"Brown","2681","17"
"Bureau","9569","129"
"Calhoun","1776","5"
"Carroll","4819","51"
"Cass","5274","37"
"Champaign","80416","305"
"Christian","11993","115"
"Clark","5578","53"
"Clay","5562","73"
"Clinton","13476","115"
"Coles","17855","182"
"Cook","710223","7253"
"Crawford","7385","47"
"Cumberland","3803","39"
"Dewitt","4934","41"
"Dekalb","29676","204"
"Douglas","7501","59"
"Dupage","267691","1792"
"Edgar","6096","60"
"Edwards","2015","28"
"Effingham","12139","143"
"Fayette","8166","101"
"Ford","5132","69"
"Franklin","14408","175"
"Fulton","11969","133"
"Gallatin","1727","20"
"Greene","4065","47"
"Grundy","15008","144"
"Hamilton","2480","32"
"Hancock","5028","50"
"Hardin","1340","20"
"Henderson","1425","19"
"Henry","14836","125"
"Iroquois","8283","126"
"Jackson","18958","129"
"Jasper","3049","32"
"Jefferson","12711","180"
"Jersey","7372","76"
"Jo Daviess","4774","42"
"Johnson","5256","42"
"Kane","154544","1172"
"Kankakee","33872","378"
"Kendall","38837","166"
"Knox","14921","227"
"Lake","193346","1476"
"Lasalle","34402","401"
"Lawrence","6365","45"
"Lee","10610","84"
"Livingston","12321","139"
"Logan","11499","94"
"Macon","36740","359"
"Macoupin","14917","144"
"Madison","82418","822"
"Marion","13747","218"
"Marshall","3242","33"
"Mason","4501","65"
"Massac","4389","71"
"Mcdonough","8496","104"
"Mchenry","91471","500"
"Mclean","60303","315"
"Menard","4174","25"
"Mercer","4675","51"
"Monroe","10732","133"
"Montgomery","11303","109"
"Morgan","11416","134"
"Moultrie","4653","50"
"Ogle","16256","131"
"Peoria","55499","545"
"Perry","8580","98"
"Piatt","5136","23"
"Pike","5707","70"
"Pope","1141","9"
"Pulaski","1954","24"
"Putnam","1331","10"
"Randolph","12025","132"
"Richland","5885","77"
"Rock Island","39657","502"
"Saline","9615","101"
"Sangamon","69694","422"
"Schuyler","2339","17"
"Scott","1440","14"
"Shelby","7082","80"
"St. Clair","75789","768"
"Stark","1741","39"
"Stephenson","13766","173"
"Tazewell","42898","490"
"Union","6382","67"
"Vermilion","32665","306"
"Wabash","4424","29"
"Warren","4703","87"
"Washington","3884","36"
"Wayne","6263","89"
"White","5095","53"
"Whiteside","18340","237"
"Will","200665","1624"
"Williamson","26809","265"
"Winnebago","92930","867"
"Woodford","11846","116"
